user_id,lastname,firstname,grade,email,count,eventlist
0cb64dab-4401-4d26-856a-614b7d45294a,sasa,sasa,,sasa,4,[]
144752de-0d9b-4dae-92c9-fde40b780d85,sasa,sasa,,sasa,0,[]
1e510748-00f2-4984-9974-a934250457f6,Смирнов,Артем,Матинфо,e@mail.ru,0,[]
21b831fb-cf8c-44c6-be1c-90f3e76c0cfd,Мяууууу,Гав,Гум_6,ar.sas@mail.ru,0,[]
22e45846-19b2-459f-9d4e-3a1fc17544cb,sas,sas,,sas,83,[]
294e10c6-2d0a-4621-81ef-609adfe2cfb2,йц,йц,,йц,0,[]
3531c8f3-ce88-468e-a4d2-bef28ee229f8,Мяу,Гав,6,ar.sas@mail.ru,0,[]
3a4b2175-4442-4fd7-afcf-8ade9db6ff37,Мяууууу,Гав,6,ar.sas@mail.ru,0,[]
3a6b5725-2373-4103-ad3c-effe7ad41855,Иванов,Ивавн,,ыф,0,[]
40fe0dda-029b-4084-b605-8ac4da6be9ec,sasa,sas,,sasa,0,[]
4b09ae3f-247c-477c-a888-baf5d02c65a0,Баженов,Евгений,Гум 1,bad@mail.ru,0,[]
4f165206-e1f2-41d9-b346-cba203ef3ed4,sasa,sasa,,sasa,0,[]
4f2974bc-64f9-4bed-87c6-fa83984924c3,Мяууууу,Гав,_6,ar.sas@mail.ru,0,[]
5b228ad9-bb14-42cf-9c5c-36573a5aca78,sas,sas,,sas,0,[]
5f3462aa-288e-4793-8497-bb93b0d55e98,sasa,sasa,,sasa,0,[]
617fe7e6-4034-4878-aa63-e96cbf96358f,Артеи,Артем,Гум 5,ar.smi@rt.ru,19,[]
647e4038-bfdd-438c-b47a-d649819ff79a,Смирнов,Артем,,ar.sm@mail.ru,0,[]
68315e22-0cfa-4660-aa14-4aaab1ea8a55,Смирнов,Борис,,ar.smirnov@mail.ru,6,[]
7c512efa-b8f4-4201-8b81-975e4ffb8b14,sasa,sasa,,sasa,0,[]
81616993-3a5b-49f3-85fd-1305da5e5a76,sasa,sasa,,sassa,0,[]
8988198a-fec0-4967-a970-60226480aec7,Смирнов,Артем,Матинфо,e@mail.ru,0,[]
8d67467b-9d16-4691-9adb-1ac50fff12b7,Смирнов,Артем,Матинфо,e@mail.ru,0,[]
9ca5310e-72f0-47c0-9325-ef8fd78be5f1,sas,sas,,sas,0,[]
9ff94eaa-4281-4ae5-9272-d988328674c3,ok,ok,,ok,0,[]
a1e4299e-a7ca-4dc8-a1d2-73c3afab47cf,sasa,sasa,,sasa,0,[]
a587b966-e516-4e9e-aae6-963c0af88502,sasa,sasa,,sasa,0,[]
a84ad1de-7504-4452-8ff8-da8b5e05f395,Мяууууу,Гав,_6,ar.sas@mail.ru,0,[]
a959f726-4539-4867-8f74-f10002e7efd1,Мяу,Мур,Математика 1,OK@MAIL.RU,6,[]
b79867a0-ad2c-4820-afb9-23a5db9d5632,sasa,sasa,,sasa,0,[]
c3669536-3f32-4d8f-8e6e-633d0e07a8f3,Мяу,Гав, 6,ar.sas@mail.ru,0,[]
c8498a03-cdf8-49cc-a63e-a2ecc5ed90fe,sasa,sasa,,sasa,0,[]
dc2752bc-2330-402a-b46a-2b04a236138f,sas,sas,,sas,0,[]
e73d52fd-f18d-49a6-b2f4-82e2a8a145fa,Смирнов,Артем,Матинфо,ar@mail.ru,0,[]
ecacb03b-414d-422a-90fa-0583cf3e1d5a,sasa,sasa,,sasa,0,[]
ee7dd6ce-0803-4880-a314-443f36ad642b,sasa,sasa,,sasa,0,[]
f1ae3775-5da8-4074-88d4-0c141c56838d,sasa,sasa,,sasa,0,[]
